,Order Qty,Replenishment LT,LT Offset,Manufacturing LT,Action,SupplyType,Status,Rule,Multi-sourced,Special Demand,Flagged,Item,Description,Part Status,Shortage Date,Part Type Code,Product Family,Material Type,Max Order Qty,Min Order Qty,Multiple order Qty,Container Qty,Phase-in,Phase-out,UOM,Report Field 1,Planner Code,Supplier Code,Order Value,Original Order Qty,On-hand Qty,Excess Qty,Shortage Qty,Planned Receipt,Material,Capacity,RTO Priority,Resource ID,Work Center Code,WC Supplier Code,Ordering Group,Production Version,Supply type,Location,Reference,Settings
129,Less Than 3,Greater Than Or Equal 3,Equals +1,,"('REQUIRESATTENTION', 'POSTPONED', 'REJECTED')",Manufactured,"('GROUPBY', 'YELLOWVOLUME', 'GREENVOLUME')","('BUFFER', 'CYCLIC', 'TWOBIN')",,GROUPBY,,Starts With '5500',Starts With 'Omala',"('GROUPBY', '02', '05')",Equals '2022-02-28' OR Blank,"('ADB', 'FBF', 'FPE')",GROUPBY,"('GROUPBY', 'E', 'F')",Less Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Equals 1 OR Equals 5,Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 999999-12-31,"('LB', 'TO', 'UG6')",Contains 'Z',Blank,"('GROUPBY', 'T124', 'I353')",Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",,Blank,Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'Yes', 'No')","('GROUPBY', 'Not Available', 'Partially Available')",Equals 1,Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',,"('Purchased', 'Manufactured', 'Distributed')","('I340', 'I351', 'U022')",Starts With 'SHELL' AND Ends With '3',Contains 'Z'
130,Blank,Equals 1 OR Equals 5,Equals same value as in table,Equals 1 OR Equals 5,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')","('YELLOWFLOW', 'REDFEP', 'YELLOWVOLUME')","('GROUPBY', 'RTO', 'FEP')",,GROUPBY,,Contains '24',Starts With 'Omala' AND Contains 'S4',05,,"('DRM', 'FBR', 'GPF')","('GROUPBY', 'YNOP', 'YPCK')",GROUPBY,Not Equals 3,Equals 6,"In Range (1,10)",Greater Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,Not Blank,"('EA', 'KG', 'L')",Contains 'Z',Not Equals 3,I353,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Equals 1 OR Greater Than 5,Greater Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 999999-12-31,No,"('GROUPBY', 'N/A', 'Not Available')",Equals ABCDEF,Contains 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'Z',Contains 'a' AND Contains 'A',Distributed,"('I486', 'C311', 'C604')",Starts With 'Z',Contains 'a' OR Contains 'A'
131,Equals ABCDEF,Less Than 9223372036854775807,Less Than 3,Equals -1,"('GROUPBY', 'REQUIRESRELEASE', 'TODO')","('GROUPBY', 'Manufactured', 'Purchased')","('GROUPBY', 'REDVOLUME', 'BLUEVOLUME')","('GROUPBY', 'BUFFER', 'LOW')",true,false,false,Ends With 'Z',Starts With 'Z',,Equals '2022-02-28',"('BSE', 'DRM', 'PRE')","('YPAC', 'YPCK', 'YRAW')",F,,"In Range (1,10)",Equals 5,Equals 1 OR Greater Than 5,Greater Than 2000-01-01 AND Less Than 9999-12-31,,"('GROUPBY', 'LB', 'TO')",Contains 'a' AND Contains 'A',Equals 1 OR Equals 5,T124,Equals ABCDEF,Greater Than 3,Not Equals 3,Equals 5,Greater Than Or Equal 3,Greater Than 2000-01-01,,"('GROUPBY', 'N/A', 'Not Available')",Equals 1,Starts With 'Z',,Ends With 'Z',,Ends With 'Z',"('Purchased', 'Manufactured', 'Distributed')","('GROUPBY', 'I351', 'I486')",,Starts With 'Z'
132,,Not Equals 3,Equals 'ABCDEF',Equals +1,"('GROUPBY', 'REQUIRESATTENTION', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')",RTO,LOW,,GROUPBY,false,Starts With '5' AND Ends With '1',Contains 'Omala',GROUPBY,Equals '2022-02-28',"('ADB', 'FBR', 'FPC')","('GROUPBY', 'YBSE', 'YNOP')","('GROUPBY', 'E', 'F')",,Equals ABCDEF,Less Than Or Equal 3,Not Equals 3,Less Than 999999-12-31,Greater Than 2000-01-01,"('KAR', 'LB', 'UG6')",Ends With 'Z',Less Than 3,I353,Less Than Or Equal 3,Equals 6,Equals 1 OR Equals 5,Equals 1 OR Greater Than 5,Blank,Blank,NA,"('GROUPBY', 'Available', 'Partially Available')",,Contains 'Z',Contains 'Z',,,Contains 'Z',GROUPBY,"('I340', 'I411', 'F477')",Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A'
133,Equals 6,Equals +1,,Equals 'ABCDEF',"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REJECTED')",Manufactured,"('GREENFLOW', 'RTO', 'REDVOLUME')","('BUFFER', 'RTO', 'MANUAL')",,,,Ends With '9',Contains 'a' OR Contains 'A',05,Less Than 9999-12-31,"('FPE', 'FPF', 'NOF')","('YBLU', 'YPAC', 'YPCK')",,"In Range (1,10)",Equals 1,Greater Than Or Equal 3,Less Than Or Equal 3,Less Than 9999-12-31,Greater Than 2000-01-01,"('EA', 'KAR', 'UG6')",Contains 'a' OR Contains 'A',Equals 1 OR Equals 5,T124,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 6,Equals 1 OR Greater Than 5,Less Than 3,Blank,Not Blank,"('GROUPBY', 'NA', 'No')","('GROUPBY', 'N/A', 'Partially Available')",Less Than Or Equal 3,Ends With 'Z',Ends With 'Z',,,,Distributed,"('I477', 'F477', 'G081')",Starts With 'SHELL' AND Ends With '3',Contains 'a' AND Contains 'A'
134,Blank,Not Equals 3,Equals 1 OR Equals 5,Less Than 3,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'REQUIRESAPPROVAL')","('GROUPBY', 'Distributed', 'Purchased')","('YELLOWFLOW', 'REDVOLUME', 'GREENVOLUME')","('BUFFER', 'RTO', 'FEP')",,GROUPBY,,Ends With 'Z',Starts With 'Omala' OR Starts With 'Corena',GROUPBY,Equals '2022-02-28',"('FPE', 'MTO', 'PRL')","('GROUPBY', 'YBLU', 'YRAW')",F,Not Equals 3,Equals 1 OR Equals 5,Blank,Blank,Not Blank,Less Than 999999-12-31,"('GROUPBY', 'EA', 'TO')",Starts With 'Z',Blank,"('GROUPBY', 'I480', 'I353')",Equals 5,Equals 6,Equals 5,Equals ABCDEF,Equals 1,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'NA', 'No')",,Equals 1 OR Greater Than 5,Starts With 'Z',Contains 'a' AND Contains 'A',Starts With 'Z',Starts With 'Z',Contains 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I349', 'I339', 'I337')",Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A'
135,"In Range (1,10)",,Blank,Not Equals 3,"('REQUIRESATTENTION', 'TODO', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('YELLOWFLOW', 'GREENFEP', 'BLUEVOLUME')","('GROUPBY', 'FLOW', 'LOW')",,,true,Contains 'a' OR Contains 'A',Contains 'Z',,Equals '2022-02-28' OR Blank,"('D1B', 'LBL', 'PRE')","('YBLU', 'YBSE', 'YPAC')",E,Equals 6,Equals 1 OR Equals 5,Equals 6,Less Than Or Equal 3,Not Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,GROUPBY,Contains 'a' AND Contains 'A',Greater Than 3,"('P083', 'I480', 'I353')",Blank,Equals 1 OR Greater Than 5,Equals ABCDEF,Equals 1 OR Greater Than 5,Equals 1,Less Than 9999-12-31,No,Available,Equals 1 OR Greater Than 5,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',,Ends With 'Z',"('Purchased', 'Manufactured', 'Distributed')","('GROUPBY', 'I349', 'P082')",Starts With 'SHELL',Contains 'a' OR Contains 'A'
136,Equals 5,,Greater Than Or Equal 3,,"('REQUIRESRELEASE', 'TODO', 'REJECTED')","('Manufactured', 'Distributed', 'Purchased')","('GREENFLOW', 'BLUEFLOW', 'GREENFEP')","('GROUPBY', 'FLOW', 'LOW')",true,false,false,Starts With '5' AND Ends With '1',Starts With 'Omala' AND Contains 'S4',GROUPBY,Equals '2022-02-28' OR Blank,"('ADB', 'DRM', 'FPC')","('GROUPBY', 'YBSE', 'YINT')",,Equals 5,,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,,Less Than 9999-12-31,"('EA', 'TO', 'UG6')",Ends With 'Z',Equals -1,"('GROUPBY', 'T124', 'R037')",Not Blank,Equals 1 OR Equals 5,Blank,,Equals 1 OR Equals 5,,GROUPBY,"('GROUPBY', 'Available', 'Partially Available')",Less Than 3,Starts With 'Z',Contains 'a' OR Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Distributed,"('I389', 'I337', 'R175')",Starts With 'Z',Contains 'a' OR Contains 'A'
137,Not Blank,Equals -1,Less Than 3,Equals +1,"('GROUPBY', 'POSTPONED', 'REJECTED')",Manufactured,"('GROUPBY', 'REDFEP', 'REDVOLUME')","('BUFFER', 'TWOBIN', 'MANUAL')",GROUPBY,,true,Contains 'a' OR Contains 'A',Contains 'Z',"('GROUPBY', '02', '05')",Greater Than 2000-01-01,"('BTV', 'FBF', 'FPC')","('YINT', 'YPAC', 'YRAW')","('GROUPBY', 'E', 'F')",Not Equals 3,Equals 1 OR Greater Than 5,Not Blank,Greater Than 3,Less Than 9999-12-31,Less Than 999999-12-31,GROUPBY,Contains 'Z',Less Than 9223372036854775807,R037,Equals ABCDEF,Equals 6,Equals 1,Equals 6,Greater Than 3,,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'Available', 'Partially Available')",Equals ABCDEF,Starts With 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',Contains 'Z',,GROUPBY,"('I389', 'I351', 'C311')",,Contains 'a' AND Contains 'A'
138,Equals 6,,Not Equals 3,Less Than 9223372036854775807,"('GROUPBY', 'REQUIRESATTENTION', 'POSTPONED')","('Manufactured', 'Distributed', 'Purchased')","('YELLOWFLOW', 'REDVOLUME', 'BLUEVOLUME')","('GROUPBY', 'FLOW', 'MANUAL')",GROUPBY,GROUPBY,false,Contains '4' AND Contains '2',Contains 'Z',,Less Than 9999-12-31,"('FPF', 'PRL', 'PWD')","('GROUPBY', 'YBSE', 'YPCK')",GROUPBY,Blank,Blank,Equals ABCDEF,Less Than 3,Not Blank,,"('GROUPBY', 'KAR', 'TO')",Contains 'a' OR Contains 'A',Not Blank,"('GROUPBY', 'T124', 'I353')",,,Blank,,Blank,,Yes,N/A,Less Than 3,Ends With 'Z',,Contains 'Z',Contains 'Z',Contains 'a' AND Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('I324', 'I486', 'T804')",Ends With 'Z',Contains 'a' AND Contains 'A'
139,Greater Than 3,Equals 1,Blank,Greater Than 3,POSTPONED,,"('BLUEFLOW', 'GREENVOLUME', 'BLUEVOLUME')","('GROUPBY', 'LOW', 'MANUAL')",,GROUPBY,GROUPBY,Starts With '5500',Contains 'Omala',02,,"('FBE', 'FP2', 'FPE')","('YBLU', 'YNOP', 'YPCK')",F,Greater Than Or Equal 3,Not Equals 3,Blank,Not Equals 3,,Less Than 999999-12-31,"('GROUPBY', 'KAR', 'UG6')",Contains 'a' OR Contains 'A',Less Than 9223372036854775807,"('T124', 'R037', 'I353')",Not Equals 3,Equals 5,Greater Than 3,Equals ABCDEF,Equals ABCDEF,Blank,"('NA', 'Yes', 'No')","('Available', 'N/A', 'Not Available')",Not Blank,Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Starts With 'Z',Ends With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I351', 'R175', 'G081')",Contains 'Z',Contains 'a' OR Contains 'A'
140,Equals 6,Not Equals 3,Less Than 3,,"('REQUIRESATTENTION', 'RELEASED', 'TODO')",Manufactured,"('YELLOWFLOW', 'YELLOWVOLUME', 'GREENVOLUME')","('CYCLIC', 'RTO', 'FEP')",GROUPBY,GROUPBY,GROUPBY,Ends With '9',Contains 'Omala',GROUPBY,,"('APD', 'BTV', 'GPF')","('GROUPBY', 'YPAC', 'YPCK')",F,"In Range (1,10)",Not Equals 3,Less Than Or Equal 3,Equals 1,Greater Than 2000-01-01 AND Less Than 9999-12-31,,"('EA', 'KAR', 'SKU')",Ends With 'Z',Greater Than Or Equal 1 AND Less Than Or Equal 10,T124,Blank,Less Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,"In Range (1,10)",Equals 1 OR Equals 5,Blank,GROUPBY,"('GROUPBY', 'Available', 'Partially Available')",Less Than 3,Ends With 'Z',Ends With 'Z',Ends With 'Z',Ends With 'Z',Starts With 'Z',Manufactured,"('P082', 'T804', 'G081')",Contains 'a' OR Contains 'A',Contains 'Z'
141,Equals 6,Not Equals 3,Greater Than Or Equal 3,Not Blank,"('REQUIRESAPPROVAL', 'RELEASED', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Purchased')","('GROUPBY', 'YELLOWFLOW', 'GREENFLOW')","('GROUPBY', 'BUFFER', 'FEP')",true,true,,Contains 'a' OR Contains 'A',Starts With 'Omala',"('GROUPBY', '02', '05')",Less Than 9999-12-31,"('GROUPBY', 'BST', 'FP3')","('YBLU', 'YBSE', 'YINT')",,Greater Than Or Equal 3,,Equals 6,Greater Than Or Equal 3,,Less Than 999999-12-31,"('EA', 'L', 'UG6')",Contains 'a' AND Contains 'A',Greater Than 3,"('GROUPBY', 'P083', 'I353')",Greater Than 3,Greater Than 3,Blank,Greater Than Or Equal 3,Equals 6,,GROUPBY,Not Available,Equals 6,Ends With 'Z',Contains 'Z',Contains 'Z',Contains 'a' AND Contains 'A',Ends With 'Z',Manufactured,"('I337', 'F477', 'I009')",Ends With 'Z',Ends With 'Z'
142,Greater Than 3,"In Range (1,10)",Less Than Or Equal 3,Less Than 999999999999999999999999999999999999999,"('REQUIRESRELEASE', 'RELEASED', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('REDFLOW', 'RTO', 'GREENVOLUME')","('LOW', 'RTO', 'MANUAL')",false,,false,Contains 'Z',Contains 'Omala',02,Not Blank,"('BSE', 'GPF', 'MTO')","('GROUPBY', 'YINT', 'YPCK')",,Greater Than 3,Equals 1 OR Equals 5,Less Than 3,Less Than Or Equal 3,Less Than 9999-12-31,,"('EA', 'L', 'TO')",,Equals 1 OR Greater Than 5,"('GROUPBY', 'T124', 'P083')",Not Blank,Not Blank,Not Equals 3,Equals 6,Equals 1 OR Greater Than 5,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'NA', 'No')",Partially Available,Less Than Or Equal 3,,,Ends With 'Z',Starts With 'Z',Contains 'a' OR Contains 'A',"('Purchased', 'Manufactured', 'Distributed')","('I411', 'I477', 'I337')",Starts With 'SHELL' AND Ends With '3',Contains 'a' AND Contains 'A'
143,Equals ABCDEF,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals +1,Equals same value as in table,"('GROUPBY', 'TODO', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('REDFEP', 'RTO', 'BLUEVOLUME')","('GROUPBY', 'BUFFER', 'LOW')",GROUPBY,GROUPBY,true,,Starts With 'Omala',"('GROUPBY', '02', '05')",Less Than 999999-12-31,"('GROUPBY', 'ADP', 'D1P')",,E,Equals 1,Equals 1 OR Greater Than 5,Greater Than 3,Equals 1 OR Equals 5,Not Blank,Less Than 9999-12-31,"('EA', 'KAR', 'UG6')",Starts With 'Z',Equals 1 OR Greater Than 5,"('R037', 'P083', 'I353')",Not Blank,Not Blank,,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Greater Than 2000-01-01 AND Less Than 9999-12-31,Yes,N/A,"In Range (1,10)",Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',,,Starts With 'Z',Distributed,"('I340', 'I411', 'U022')",,Starts With 'Z'
144,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals same value as in table,Equals +1,Less Than 999999999999999999999999999999999999999,"('GROUPBY', 'REQUIRESAPPROVAL', 'TODO')","('GROUPBY', 'Manufactured', 'Distributed')","('REDFLOW', 'YELLOWFLOW', 'YELLOWVOLUME')","('LOW', 'FEP', 'TWOBIN')",true,GROUPBY,true,Ends With 'Z',Starts With 'Refrig' OR Contains 'Gadus',,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('FP1', 'FP2', 'FPE')",YNOP,E,Less Than Or Equal 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 3,Greater Than Or Equal 3,,,"('GROUPBY', 'L', 'UG6')",Contains 'a' OR Contains 'A',Less Than Or Equal 3,"('GROUPBY', 'T124', 'P083')",Not Blank,Not Blank,Less Than 3,Not Equals 3,Blank,Blank,GROUPBY,"('GROUPBY', 'Not Available', 'Partially Available')",Not Blank,Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'Z',Contains 'Z',Contains 'Z',Purchased,"('I340', 'I349', 'I009')",Ends With 'Z',
145,Not Equals 3,Less Than 3,Equals 1,Equals +1,"('GROUPBY', 'REQUIRESAPPROVAL', 'POSTPONED')","('Manufactured', 'Distributed', 'Purchased')","('YELLOWFLOW', 'BLUEFLOW', 'RTO')",FEP,true,false,false,Starts With '5500' OR Starts With '500',Starts With 'Omala',,Not Blank,"('BTV', 'GPF', 'PRE')","('GROUPBY', 'YINT', 'YRAW')","('GROUPBY', 'E', 'F')",Less Than 3,Greater Than Or Equal 3,Equals 1 OR Equals 5,Equals 6,Less Than 999999-12-31,Blank,KAR,Contains 'Z',Equals 1 OR Greater Than 5,"('T124', 'P083', 'I353')",Not Blank,Equals 1,Less Than 3,Equals ABCDEF,,Not Blank,"('GROUPBY', 'NA', 'No')","('N/A', 'Not Available', 'Partially Available')",Less Than Or Equal 3,Contains 'a' AND Contains 'A',Ends With 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',,GROUPBY,"('R175', 'I486', 'I009')",Starts With 'SHELL',Starts With 'LOC' AND Contains 'ITEM'
146,"In Range (1,10)",Greater Than 3,Equals 1 OR Equals 5,Blank,"('GROUPBY', 'RELEASED', 'POSTPONED')","('GROUPBY', 'Distributed', 'Purchased')","('REDVOLUME', 'YELLOWVOLUME', 'GREENVOLUME')","('BUFFER', 'CYCLIC', 'FEP')",false,,GROUPBY,Starts With '5500',Contains 'Z',02,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('FBR', 'FPC', 'GPF')","('GROUPBY', 'YNOP', 'YRAW')",GROUPBY,,Equals 6,,Equals 1,Not Blank,Greater Than 2000-01-01,"('KG', 'SKU', 'TO')",,Equals -1,R037,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1,Less Than Or Equal 3,Equals 1 OR Equals 5,Equals ABCDEF,Less Than 999999-12-31,"('NA', 'Yes', 'No')","('GROUPBY', 'N/A', 'Partially Available')",Not Blank,Ends With 'Z',Contains 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',,"('I389', 'I324', 'P082')",Starts With 'SHELL',Starts With 'LOC'
147,"In Range (1,10)",Equals same value as in table,Equals same value as in table,Equals 1 OR Greater Than 5,,,"('GROUPBY', 'RTO', 'REDVOLUME')","('BUFFER', 'RTO', 'FEP')",,true,false,Starts With '5500' OR Starts With '500',Contains 'Z',,,"('ADB', 'BST', 'NOF')","('YBLU', 'YPAC', 'YPCK')","('GROUPBY', 'E', 'F')",Equals 1 OR Greater Than 5,Greater Than 3,Equals 1,Greater Than 3,Less Than 9999-12-31,Greater Than 2000-01-01,"('GROUPBY', 'EA', 'SKU')",Contains 'a' OR Contains 'A',Equals 'ABCDEF',I353,Equals 6,,Blank,,Equals 5,Less Than 9999-12-31,No,"('GROUPBY', 'N/A', 'Partially Available')",Greater Than 3,Contains 'Z',,Contains 'a' OR Contains 'A',Starts With 'Z',,"('GROUPBY', 'Manufactured', 'Distributed')","('I340', 'I477', 'I324')",,
148,Less Than Or Equal 3,Not Equals 3,Less Than 9223372036854775807,Equals 1 OR Equals 5,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Purchased')","('RTO', 'REDVOLUME', 'YELLOWVOLUME')","('BUFFER', 'LOW', 'FEP')",,,GROUPBY,Contains 'Z',Starts With 'Refrig' OR Contains 'Gadus',"('GROUPBY', '02', '05')",Equals '2022-02-28' OR Equals '2022-03-02',"('APZ', 'D1P', 'PRL')","('YBSE', 'YPAC', 'YRAW')",F,Not Blank,Less Than Or Equal 3,"In Range (1,10)",Greater Than 3,Greater Than 2000-01-01,Not Blank,"('KG', 'L', 'SKU')",Starts With 'Z',,"('GROUPBY', 'R037', 'I353')",Equals 5,Equals 6,Not Blank,Equals ABCDEF,Less Than Or Equal 3,Greater Than 2000-01-01,"('GROUPBY', 'NA', 'Yes')",GROUPBY,Not Equals 3,,Ends With 'Z',Starts With 'Z',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Manufactured,"('I349', 'I486', 'U022')",Ends With 'Z',Contains 'Z'
149,Greater Than Or Equal 3,Greater Than Or Equal 3,Less Than 3,Equals 1 OR Greater Than 5,"('REQUIRESATTENTION', 'RELEASED', 'REJECTED')",Purchased,BLUEVOLUME,"('FLOW', 'RTO', 'MANUAL')",true,,,Contains 'a' OR Contains 'A',Ends With 'Z',,Less Than 9999-12-31,"('FBE', 'FPE', 'MTO')",YRAW,"('GROUPBY', 'E', 'F')",Less Than Or Equal 3,Greater Than Or Equal 3,Blank,Not Equals 3,Greater Than 2000-01-01,,"('KAR', 'LB', 'UG6')",Contains 'Z',Not Equals 3,P083,Equals 1,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 3,Greater Than 3,"In Range (1,10)",Less Than 999999-12-31,GROUPBY,"('Available', 'N/A', 'Not Available')","In Range (1,10)",Contains 'Z',Contains 'a' OR Contains 'A',Starts With 'Z',,Contains 'a' OR Contains 'A',"('GROUPBY', 'Manufactured', 'Distributed')","('I349', 'P082', 'G081')",Ends With 'Z',
150,Not Equals 3,Less Than 3,Blank,,"('REQUIRESATTENTION', 'REQUIRESAPPROVAL', 'REJECTED')",Manufactured,"('GREENFLOW', 'YELLOWVOLUME', 'GREENVOLUME')","('CYCLIC', 'LOW', 'RTO')",true,GROUPBY,false,Starts With 'Z',Starts With 'Z',02,,"('FPF', 'NOF', 'PRE')","('YBSE', 'YPAC', 'YNOP')",F,Equals 1,Equals 6,Equals 5,Blank,Greater Than 2000-01-01,Less Than 999999-12-31,"('GROUPBY', 'EA', 'LB')",Contains 'a' OR Contains 'A',Less Than 999999999999999999999999999999999999999,"('GROUPBY', 'R037', 'I480')",Greater Than Or Equal 3,Equals 1 OR Greater Than 5,Less Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than Or Equal 3,Not Blank,"('NA', 'Yes', 'No')","('GROUPBY', 'Available', 'Partially Available')",Not Blank,Contains 'Z',Starts With 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('GROUPBY', 'T804', 'I009')",Contains 'a' AND Contains 'A',Starts With 'LOC' AND Contains 'ITEM'
151,Equals 6,Equals 1 OR Greater Than 5,,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('REDFEP', 'GREENVOLUME', 'BLUEVOLUME')","('CYCLIC', 'FEP', 'TWOBIN')",true,,false,Contains 'a' OR Contains 'A',Starts With 'Z',"('GROUPBY', '02', '05')",Less Than 999999-12-31,"('BSE', 'FBF', 'PWD')","('YBLU', 'YBSE', 'YPAC')",E,Equals ABCDEF,Equals 1,Not Blank,,Greater Than 2000-01-01 AND Less Than 9999-12-31,Greater Than 2000-01-01,"('EA', 'KAR', 'TO')",Contains 'a' AND Contains 'A',Equals same value as in table,"('GROUPBY', 'T124', 'I353')",Equals 1,Equals 1 OR Equals 5,Equals 6,Greater Than Or Equal 3,,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('NA', 'Yes', 'No')","('Available', 'N/A', 'Partially Available')",Not Equals 3,Ends With 'Z',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',Ends With 'Z',Manufactured,"('I335', 'I337', 'G081')",Starts With 'SHELL' AND Ends With '3',Starts With 'LOC' AND Contains 'ITEM'
152,"In Range (1,10)",Greater Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals same value as in table,"('REQUIRESRELEASE', 'POSTPONED', 'TODO')",Purchased,"('YELLOWFLOW', 'GREENFLOW', 'RTO')","('CYCLIC', 'FEP', 'MANUAL')",GROUPBY,GROUPBY,GROUPBY,Contains 'a' OR Contains 'A',Contains 'Omala',"('GROUPBY', '02', '05')",,"('ADP', 'LBL', 'PRE')","('YBSE', 'YPAC', 'YRAW')",,Equals ABCDEF,Equals 6,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1,Greater Than 2000-01-01 AND Less Than 9999-12-31,Greater Than 2000-01-01,"('GROUPBY', 'L', 'SKU')",Ends With 'Z',Less Than 999999999999999999999999999999999999999,"('R037', 'P083', 'I480')",Less Than 3,Less Than 3,"In Range (1,10)",Not Equals 3,Less Than 3,Less Than 9999-12-31,"('GROUPBY', 'NA', 'No')",,Greater Than Or Equal 3,Contains 'a' AND Contains 'A',,Contains 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',,"('I339', 'R175', 'F477')",Starts With 'SHELL',Ends With 'Z'
153,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,Equals +1,"('GROUPBY', 'RELEASED', 'POSTPONED')",Purchased,"('REDFLOW', 'YELLOWVOLUME', 'BLUEVOLUME')","('FLOW', 'BUFFER', 'CYCLIC')",false,true,false,Contains 'a' AND Contains 'A',Starts With 'Z',02,Less Than 999999-12-31,"('GPF', 'PKG', 'PWD')","('YINT', 'YPAC', 'YRAW')",GROUPBY,Equals 1 OR Equals 5,Less Than 3,Equals 6,Greater Than 3,Less Than 999999-12-31,Less Than 9999-12-31,SKU,Contains 'a' OR Contains 'A',Equals 1,"('GROUPBY', 'T124', 'I353')",Equals 6,,"In Range (1,10)",Less Than 3,Equals 1,,NA,"('GROUPBY', 'N/A', 'Not Available')",Equals 1,Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' OR Contains 'A',Contains 'Z',Contains 'a' AND Contains 'A',Purchased,"('I477', 'I351', 'I337')",Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A'
